shedno,shed_area,edge_pit,pit_area,pit_vol,pit_elev,pit_seqno,pit_row,pit_col,pre_vol,varatio,in_seqno,in_row,in_col,in_elev,out_seqno,out_row,out_col,out_elev,drains_to,pour_elev,pond_shed,edge_pit_out,pit_elev_out,pit_seqno_out,pour_elev_out
2,20,FALSE,1,555,249,2696,27,96,0,27750,2299,23,99,275,2200,22,100,274,5,275,2,TRUE,272,1700,275
5,7,FALSE,1,25,272,1700,17,100,0,3571.4285714285716,2200,22,100,274,2299,23,99,275,2,275,5,TRUE,249,2696,275
7,1,FALSE,1,217,244,97,1,97,0,217e3,91,1,91,264,90,1,90,265,8,265,7,TRUE,250,84,253
8,1,FALSE,1,7,250,84,1,84,0,7e3,83,1,83,251,182,2,82,253,62,253,8,TRUE,5,1625,107
10,91,FALSE,1,17410,150,7495,75,95,0,191318.6813186813,9970,100,70,212,9969,100,69,211,48,212,10,TRUE,41,8639,130
28,3,FALSE,1,2057,156,9997,100,97,0,685666.6666666666,8600,86,100,213,8500,85,100,212,29,213,28,TRUE,212,8500,213
29,5,FALSE,1,1,212,8500,85,100,0,200,8500,85,100,212,8600,86,100,213,28,213,29,TRUE,156,9997,213
39,59,FALSE,1,5,127,9933,100,33,0,84.7457627118644,9934,100,34,130,9935,100,35,129,48,130,39,TRUE,41,8639,130
48,470,FALSE,1,7215,41,8639,87,39,0,15351.063829787234,9935,100,35,129,9934,100,34,130,39,130,48,TRUE,127,9933,130
49,7,FALSE,1,62,89,20,1,20,0,8857.142857142857,220,3,20,104,321,4,21,107,62,107,49,TRUE,5,1625,107
58,608,FALSE,1,26490,0,7128,72,28,0,43569.07894736842,9502,96,2,67,9601,97,1,65,61,67,58,TRUE,65,9601,67
61,3,FALSE,1,2,65,9601,97,1,0,666.6666666666666,9601,97,1,65,9502,96,2,67,58,67,61,TRUE,0,7128,67
62,71,FALSE,1,31867,5,1625,17,25,0,448830.98591549293,321,4,21,107,220,3,20,104,49,107,62,TRUE,89,20,107
67,26,FALSE,1,35,105,3601,37,1,0,1346.1538461538462,3901,40,1,113,4002,41,2,114,58,114,67,TRUE,0,7128,67
68,53,FALSE,1,172,66,7101,72,1,0,3245.2830188679245,7107,72,7,83,7207,73,7,83,58,83,68,TRUE,0,7128,67
