shedno,shed_area,edge_pit,pit_area,pit_vol,pit_elev,pit_seqno,pit_row,pit_col,pre_vol,varatio,in_seqno,in_row,in_col,in_elev,out_seqno,out_row,out_col,out_elev,drains_to,pour_elev,pond_shed,edge_pit_out,pit_elev_out,pit_seqno_out,pour_elev_out,next_pit,end_pit,removed,becomes,final
3,91,FALSE,1,8593,220,9915,100,15,0,94428.57142857143,8232,83,32,288,8133,82,33,288,45,288,3,TRUE,169,6100,196,45,3,FALSE,3,TRUE
4,176,FALSE,1,117,290,5501,56,1,0,664.7727272727273,5801,59,1,310,5901,60,1,309,21,310,4,TRUE,292,6101,310,21,4,FALSE,4,TRUE
6,14,FALSE,1,7,264,35,1,35,0,500,38,1,38,265,39,1,39,266,29,266,6,TRUE,261,41,264,29,6,FALSE,6,TRUE
9,175,FALSE,1,2282,291,2401,25,1,0,13040,3516,36,16,334,3517,36,17,334,65,334,9,TRUE,158,3400,168,65,9,FALSE,9,TRUE
12,1,FALSE,1,5425,247,12,1,12,0,5425e3,320,4,20,334,221,3,21,336,6,336,12,TRUE,264,35,266,6,12,FALSE,12,TRUE
14,4,FALSE,1,22,343,8501,86,1,0,5500,8401,85,1,351,8301,84,1,354,15,354,14,TRUE,350,8201,354,15,14,FALSE,14,TRUE
15,26,FALSE,1,7,350,8201,83,1,0,269.2307692307692,8301,84,1,354,8401,85,1,351,14,354,15,TRUE,343,8501,354,14,15,FALSE,15,TRUE
18,1,FALSE,1,10,394,701,8,1,0,1e4,602,7,2,398,503,6,3,398,12,398,18,TRUE,247,12,336,12,18,FALSE,18,TRUE
20,10,FALSE,1,91,345,9301,94,1,0,9100,9501,96,1,371,9602,97,2,372,3,372,20,TRUE,220,9915,288,3,20,FALSE,20,TRUE
21,2,FALSE,1,97,292,6101,62,1,0,48500,5901,60,1,309,5801,59,1,310,4,310,21,TRUE,290,5501,310,4,21,FALSE,21,TRUE
22,86,FALSE,1,19,261,9950,100,50,0,220.93023255813955,9951,100,51,269,9952,100,52,269,45,269,22,TRUE,169,6100,196,45,22,FALSE,22,TRUE
25,11,FALSE,1,1,302,9943,100,43,0,90.9090909090909,9943,100,43,302,9944,100,44,303,22,303,25,TRUE,261,9950,269,22,25,FALSE,25,TRUE
29,2,FALSE,1,6,261,41,1,41,0,3e3,44,1,44,264,45,1,45,264,40,264,29,TRUE,258,49,260,40,29,FALSE,29,TRUE
37,1,FALSE,1,27,251,52,1,52,0,27e3,51,1,51,259,50,1,50,260,40,260,37,TRUE,258,49,260,40,37,FALSE,37,TRUE
40,4,FALSE,1,3,258,49,1,49,0,750,50,1,50,260,151,2,51,259,37,260,40,TRUE,251,52,260,37,40,FALSE,40,TRUE
45,338,FALSE,1,2478,169,6100,61,100,0,7331.360946745562,5000,50,100,196,4900,49,100,194,66,196,45,TRUE,188,4700,196,66,45,FALSE,45,TRUE
48,23,FALSE,1,3808,200,8498,85,98,0,165565.21739130435,9683,97,83,246,9782,98,82,246,62,246,48,TRUE,244,9981,245,62,48,FALSE,48,TRUE
53,3,FALSE,1,6,260,59,1,59,0,2e3,59,1,59,260,60,1,60,263,55,263,53,TRUE,207,65,222,55,53,FALSE,53,TRUE
54,2,FALSE,1,4,270,9900,99,100,0,2e3,9800,98,100,272,9700,97,100,272,48,272,54,TRUE,200,8498,246,48,54,FALSE,54,TRUE
55,5,FALSE,1,51,207,65,1,65,0,10200,68,1,68,222,69,1,69,221,59,222,55,TRUE,164,1000,168,59,55,FALSE,55,TRUE
59,251,FALSE,1,21,164,1000,10,100,0,83.66533864541832,1198,12,98,168,1297,13,97,167,65,168,59,TRUE,158,3400,168,65,59,FALSE,59,TRUE
62,5,FALSE,1,1,244,9981,100,81,0,200,9980,100,80,245,9979,100,79,245,45,245,62,TRUE,169,6100,196,45,62,FALSE,62,TRUE
65,76,FALSE,1,1488,158,3400,34,100,0,19578.94736842105,1297,13,97,167,1298,13,98,168,59,168,65,TRUE,164,1000,168,59,65,FALSE,65,TRUE
66,12,FALSE,1,31,188,4700,47,100,0,2583.3333333333335,4900,49,100,194,5000,50,100,196,45,196,66,TRUE,169,6100,196,45,66,FALSE,66,TRUE
69,2,FALSE,1,4,166,2500,25,100,0,2e3,2300,23,100,168,2199,22,99,168,65,168,69,TRUE,158,3400,168,65,69,FALSE,69,TRUE
